 H-1(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 16.7011
1.03125E-05 16.4461
1.06250E-05 16.2025
1.09375E-05 15.9693
1.12500E-05 15.7460
1.15625E-05 15.5317
1.18750E-05 15.3260
1.21875E-05 15.1282
1.25000E-05 14.9379
1.28125E-05 14.7546
1.31250E-05 14.5779
1.34375E-05 14.4074
1.37500E-05 14.2428
1.43750E-05 13.9297
1.50000E-05 13.6364
1.56250E-05 13.3609
1.62500E-05 13.1014
1.68750E-05 12.8565
1.75000E-05 12.6249
1.81250E-05 12.4053
1.87500E-05 12.1968
1.93750E-05 11.9984
2.00000E-05 11.8095
2.09375E-05 11.5420
2.18750E-05 11.2920
2.28125E-05 11.0575
2.37500E-05 10.8371
2.46875E-05 10.6294
2.56250E-05 10.4331
2.65625E-05 10.2473
2.75000E-05 10.0711
2.84375E-05 9.90374
2.93750E-05 9.74442
3.03125E-05 9.59255
3.12500E-05 9.44757
3.21875E-05 9.30897
3.31250E-05 9.17629
3.40625E-05 9.04913
3.50000E-05 8.92711
3.59375E-05 8.80990
3.68750E-05 8.69720
3.78125E-05 8.58870
3.87500E-05 8.48417
3.96875E-05 8.38337
4.06250E-05 8.28607
4.25000E-05 8.10123
4.43750E-05 7.92823
4.62500E-05 7.76586
4.81250E-05 7.61307
5.00000E-05 7.46896
5.15625E-05 7.35493
5.31250E-05 7.24596
5.46875E-05 7.14169
5.62500E-05 7.04181
5.78125E-05 6.94599
5.93750E-05 6.85399
6.09375E-05 6.76555
6.25000E-05 6.68044
6.40625E-05 6.59847
6.56250E-05 6.51944
6.71875E-05 6.44319
6.87500E-05 6.36955
7.18750E-05 6.22955
7.50000E-05 6.09838
7.81250E-05 5.97517
8.12500E-05 5.85914
8.43750E-05 5.74961
8.75000E-05 5.64601
9.06250E-05 5.54781
9.37500E-05 5.45456
9.68750E-05 5.36586
0.000100000 5.28135
0.000103125 5.20072
0.000106250 5.12367
0.000109375 5.04994
0.000112500 4.97931
0.000115625 4.91156
0.000118750 4.84650
0.000121875 4.78397
0.000125000 4.72379
0.000128125 4.66582
0.000131250 4.60994
0.000134375 4.55603
0.000137500 4.50395
0.000143750 4.40495
0.000150000 4.31221
0.000156250 4.22508
0.000162500 4.14304
0.000168750 4.06559
0.000175000 3.99233
0.000181250 3.92289
0.000187500 3.85696
0.000193750 3.79424
0.000200000 3.73448
0.000209375 3.64992
0.000218750 3.57085
0.000228125 3.49670
0.000237500 3.42700
0.000246875 3.36130
0.000256250 3.29924
0.000265625 3.24049
0.000275000 3.18478
0.000284375 3.13184
0.000293750 3.08146
0.000303125 3.03343
0.000312500 2.98759
0.000321875 2.94376
0.000331250 2.90180
0.000340625 2.86159
0.000350000 2.82300
0.000359375 2.78594
0.000368750 2.75030
0.000378125 2.71599
0.000387500 2.68293
0.000396875 2.65105
0.000406250 2.62029
0.000425000 2.56183
0.000443750 2.50713
0.000462500 2.45578
0.000481250 2.40746
0.000500000 2.36189
0.000515625 2.32583
0.000531250 2.29137
0.000546875 2.25840
0.000562500 2.22681
0.000578125 2.19652
0.000593750 2.16742
0.000609375 2.13945
0.000625000 2.11254
0.000640625 2.08662
0.000656250 2.06163
0.000671875 2.03752
0.000687500 2.01423
0.000718750 1.96996
0.000750000 1.92848
0.000781250 1.88952
0.000812500 1.85282
0.000843750 1.81819
0.000875000 1.78542
0.000906250 1.75437
0.000937500 1.72488
0.000968750 1.69683
0.00100000 1.67011
0.00103125 1.64461
0.00106250 1.62025
0.00109375 1.59693
0.00112500 1.57460
0.00115625 1.55317
0.00118750 1.53260
0.00121875 1.51282
0.00125000 1.49379
0.00128125 1.47546
0.00131250 1.45779
0.00134375 1.44074
0.00137500 1.42428
0.00143750 1.39297
0.00150000 1.36364
0.00156250 1.33609
0.00162500 1.31014
0.00168750 1.28565
0.00175000 1.26249
0.00181250 1.24053
0.00187500 1.21968
0.00193750 1.19984
0.00200000 1.18095
0.00209375 1.15421
0.00218750 1.12920
0.00228125 1.10576
0.00237500 1.08371
0.00246875 1.06294
0.00256250 1.04331
0.00265625 1.02473
0.00275000 1.00712
0.00284375 0.990375
0.00293750 0.974443
0.00303125 0.959256
0.00312500 0.944757
0.00321875 0.930897
0.00331250 0.917629
0.00340625 0.904913
0.00350000 0.892712
0.00359375 0.880991
0.00368750 0.869720
0.00378125 0.858870
0.00387500 0.848417
0.00396875 0.838337
0.00406250 0.828607
0.00425000 0.810123
0.00443750 0.792823
0.00462500 0.776586
0.00481250 0.761307
0.00500000 0.746896
0.00515625 0.735493
0.00531250 0.724596
0.00546875 0.714169
0.00562500 0.704181
0.00578125 0.694599
0.00593750 0.685399
0.00609375 0.676555
0.00625000 0.668044
0.00640625 0.659847
0.00656250 0.651945
0.00671875 0.644319
0.00687500 0.636955
0.00718750 0.622955
0.00750000 0.609838
0.00781250 0.597517
0.00812500 0.585914
0.00843750 0.574961
