 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 54.9381
1.03125E-05 54.1475
1.06250E-05 53.3927
1.09375E-05 52.6712
1.12500E-05 51.9806
1.15625E-05 51.3188
1.18750E-05 50.6838
1.21875E-05 50.0740
1.25000E-05 49.4877
1.28125E-05 48.9236
1.31250E-05 48.3801
1.34375E-05 47.8563
1.37500E-05 47.3508
1.43750E-05 46.3911
1.50000E-05 45.4937
1.56250E-05 44.6522
1.62500E-05 43.8611
1.68750E-05 43.1157
1.75000E-05 42.4119
1.81250E-05 41.7460
1.87500E-05 41.1148
1.93750E-05 40.5155
2.00000E-05 39.9455
2.05825E-05 39.4387
2.11651E-05 38.9538
2.17476E-05 38.4892
2.23302E-05 38.0437
2.29127E-05 37.6159
2.34952E-05 37.2049
2.40778E-05 36.8095
2.46603E-05 36.4289
2.58254E-05 35.7083
2.69905E-05 35.0372
2.81556E-05 34.4102
2.93206E-05 33.8228
3.01934E-05 33.4065
3.10662E-05 33.0088
3.19390E-05 32.6284
3.28117E-05 32.2642
3.36845E-05 31.9151
3.45573E-05 31.5801
3.54301E-05 31.2584
3.63028E-05 30.9490
3.71756E-05 30.6514
3.80484E-05 30.3647
3.97939E-05 29.8218
4.15395E-05 29.3159
4.32850E-05 28.8432
4.49638E-05 28.4168
4.66425E-05 28.0154
4.83213E-05 27.6368
5.00000E-05 27.2791
5.15625E-05 26.9633
5.31250E-05 26.6628
5.46875E-05 26.3764
5.62500E-05 26.1032
5.78125E-05 25.8422
5.93750E-05 25.5926
6.09375E-05 25.3536
6.25000E-05 25.1246
6.40625E-05 24.9049
6.56250E-05 24.6939
6.71875E-05 24.4911
6.87500E-05 24.2961
7.18750E-05 23.9275
7.50000E-05 23.5849
7.81250E-05 23.2655
8.12500E-05 22.9671
8.43750E-05 22.6875
8.75000E-05 22.4251
9.06250E-05 22.1783
9.37500E-05 21.9456
9.68750E-05 21.7260
0.000100000 21.5183
0.000103125 21.3215
0.000106250 21.1348
0.000109375 20.9575
0.000112500 20.7889
0.000115625 20.6282
0.000118750 20.4751
0.000121875 20.3289
0.000125000 20.1892
0.000128125 20.0555
0.000131250 19.9276
0.000134375 19.8050
0.000137500 19.6873
0.000143750 19.4659
0.000150000 19.2612
0.000156250 19.0714
0.000162500 18.8949
0.000168750 18.7304
0.000175000 18.5767
0.000181250 18.4327
0.000187500 18.2977
0.000193750 18.1708
0.000200000 18.0513
0.000209375 17.8846
0.000218750 17.7313
0.000228125 17.5899
0.000237500 17.4591
0.000246875 17.3377
0.000256250 17.2248
0.000265625 17.1196
0.000275000 17.0213
0.000284375 16.9292
0.000293750 16.8427
0.000303125 16.7615
0.000312500 16.6850
0.000321875 16.6128
0.000331250 16.5446
0.000340625 16.4800
0.000350000 16.4189
0.000359375 16.3608
0.000368750 16.3057
0.000378125 16.2532
0.000387500 16.2033
0.000396875 16.1556
0.000406250 16.1101
0.000425000 16.0251
0.000443750 15.9472
0.000462500 15.8756
0.000481250 15.8094
0.000500000 15.7482
0.000515625 15.7006
0.000531250 15.6557
0.000546875 15.6134
0.000562500 15.5735
0.000578125 15.5357
0.000593750 15.4998
0.000609375 15.4658
0.000625000 15.4335
0.000640625 15.4028
0.000656250 15.3735
0.000671875 15.3456
0.000687500 15.3189
0.000718750 15.2691
0.000750000 15.2233
0.000781250 15.1813
0.000812500 15.1424
0.000843750 15.1064
0.000875000 15.0730
0.000906250 15.0419
0.000937500 15.0128
0.000968750 14.9856
0.00100000 14.9601
0.00103125 14.9362
0.00106250 14.9136
0.00109375 14.8923
0.00112500 14.8722
0.00115625 14.8532
0.00118750 14.8352
0.00121875 14.8180
0.00125000 14.8018
0.00128125 14.7863
0.00131250 14.7716
0.00134375 14.7575
0.00137500 14.7441
0.00143750 14.7189
0.00150000 14.6959
0.00156250 14.6746
0.00162500 14.6550
0.00168750 14.6368
0.00175000 14.6199
0.00181250 14.6041
0.00187500 14.5894
0.00193750 14.5756
0.00200000 14.5627
0.00209375 14.5447
0.00218750 14.5282
0.00228125 14.5130
0.00237500 14.4990
0.00246875 14.4860
0.00256250 14.4740
0.00265625 14.4628
0.00275000 14.4523
0.00284375 14.4424
0.00293750 14.4332
0.00303125 14.4245
0.00312500 14.4164
0.00321875 14.4086
0.00331250 14.4013
0.00340625 14.3944
0.00350000 14.3878
0.00359375 14.3816
0.00368750 14.3756
0.00378125 14.3699
0.00387500 14.3645
0.00396875 14.3593
0.00406250 14.3544
0.00425000 14.3450
0.00443750 14.3364
0.00462500 14.3284
0.00481250 14.3210
0.00500000 14.3141
0.00515625 14.3087
0.00531250 14.3036
0.00546875 14.2987
0.00562500 14.2940
0.00578125 14.2896
0.00593750 14.2854
0.00609375 14.2813
0.00625000 14.2775
0.00640625 14.2737
0.00656250 14.2702
0.00671875 14.2667
0.00687500 14.2634
0.00718750 14.2572
0.00750000 14.2513
0.00781250 14.2458
0.00812500 14.2407
0.00843750 14.2358
0.00875000 14.2312
0.00906250 14.2268
0.00937500 14.2227
0.00968750 14.2187
0.0100000 14.2149
0.0103125 14.2113
0.0106250 14.2078
0.0109375 14.2044
0.0112500 14.2011
0.0115625 14.1980
0.0118750 14.1950
0.0121875 14.1920
0.0125000 14.1892
0.0128125 14.1864
0.0131250 14.1837
0.0134375 14.1811
0.0137500 14.1786
0.0140625 14.1761
0.0143750 14.1736
0.0150000 14.1689
0.0156250 14.1644
0.0162500 14.1601
0.0168750 14.1559
0.0175000 14.1519
0.0181250 14.1480
0.0187500 14.1442
0.0193750 14.1405
0.0200000 14.1370
0.0206625 14.1332
0.0213250 14.1296
0.0219875 14.1261
0.0226500 14.1226
0.0233125 14.1193
0.0239750 14.1159
0.0246375 14.1127
0.0253000 14.1095
0.0258307 14.1069
0.0263613 14.1044
0.0274227 14.0995
0.0284840 14.0947
0.0295453 14.0900
0.0306067 14.0853
0.0316680 14.0808
0.0327293 14.0763
0.0337906 14.0719
0.0345143 14.0689
0.0352379 14.0660
0.0359615 14.0630
0.0366852 14.0601
0.0381324 14.0544
0.0395797 14.0487
0.0410270 14.0431
0.0424742 14.0376
0.0439215 14.0322
0.0453688 14.0268
0.0465266 14.0225
0.0476844 14.0182
0.0488422 14.0140
0.0500000 14.0098
0.0515625 14.0042
0.0531250 13.9986
0.0546875 13.9930
0.0562500 13.9875
0.0578125 13.9821
0.0593750 13.9766
0.0609375 13.9712
0.0625000 13.9658
0.0640625 13.9605
0.0656250 13.9552
0.0671875 13.9499
0.0687500 13.9446
0.0703125 13.9394
0.0718750 13.9341
0.0734375 13.9289
0.0750000 13.9237
0.0765625 13.9186
0.0781250 13.9134
0.0796875 13.9083
0.0812500 13.9032
0.0843750 13.8930
0.0875000 13.8829
0.0906250 13.8729
0.0937500 13.8629
0.0968750 13.8530
0.100000 13.8431
0.103655 13.8316
0.107309 13.8201
0.110964 13.8087
0.114618 13.7974
0.118273 13.7861
0.121927 13.7748
0.125582 13.7636
0.129236 13.7525
0.132891 13.7413
0.136545 13.7303
0.140200 13.7192
0.143854 13.7082
0.147509 13.6973
0.151163 13.6864
0.154818 13.6755
0.158472 13.6647
0.162261 13.6536
0.166051 13.6426
0.169840 13.6316
0.173630 13.6207
0.177419 13.6099
0.181209 13.5993
0.184998 13.5888
0.188788 13.5784
0.191591 13.5709
0.194394 13.5635
0.197197 13.5562
0.200000 13.5491
0.204273 13.5386
0.207211 13.5316
0.210149 13.5248
0.213087 13.5183
0.216024 13.5121
0.218962 13.5063
0.221900 13.5007
0.224838 13.4956
0.227775 13.4908
0.233651 13.4827
0.239527 13.4766
0.245402 13.4728
0.248340 13.4717
0.251278 13.4713
0.254065 13.4715
0.256852 13.4723
0.259640 13.4736
0.262427 13.4755
0.265215 13.4779
0.268002 13.4808
0.270790 13.4841
0.273577 13.4879
0.275530 13.4907
0.277482 13.4937
0.279435 13.4968
0.281387 13.5001
0.283177 13.5031
0.284967 13.5062
0.286757 13.5094
0.288547 13.5125
0.290337 13.5157
0.292127 13.5189
0.293916 13.5220
0.295706 13.5251
0.297496 13.5281
0.299286 13.5310
0.301076 13.5338
0.302866 13.5366
0.306445 13.5417
0.310025 13.5462
0.312466 13.5490
0.314907 13.5514
0.319788 13.5553
0.324669 13.5580
0.329551 13.5593
0.334432 13.5594
0.339314 13.5584
0.341755 13.5574
0.344195 13.5562
0.346636 13.5547
0.349077 13.5530
0.352299 13.5504
0.355521 13.5474
0.358744 13.5441
0.361966 13.5405
0.365188 13.5366
0.368410 13.5325
0.371633 13.5282
0.374855 13.5237
0.378042 13.5190
0.381228 13.5142
0.384415 13.5093
0.387601 13.5042
0.390788 13.4991
0.393974 13.4938
0.397161 13.4885
0.400348 13.4831
0.403534 13.4777
0.406721 13.4722
0.409907 13.4667
0.413094 13.4612
0.416280 13.4556
0.419467 13.4500
0.422654 13.4444
0.425840 13.4388
0.429027 13.4332
0.432213 13.4276
0.435400 13.4220
0.438586 13.4164
0.441773 13.4108
0.444959 13.4052
0.448146 13.3996
0.451333 13.3941
0.454519 13.3885
0.457706 13.3830
0.460892 13.3775
0.464079 13.3720
0.467265 13.3666
0.470452 13.3611
0.473639 13.3557
0.476825 13.3503
0.480301 13.3445
0.483778 13.3386
0.487254 13.3328
0.490730 13.3271
0.500000 13.3118
0.515625 13.2866
0.531250 13.2619
0.546875 13.2377
0.562500 13.2141
0.578125 13.1909
0.593750 13.1681
0.609375 13.1457
0.625000 13.1237
0.640625 13.1021
0.656250 13.0807
0.671875 13.0596
0.687500 13.0387
0.703125 13.0181
0.718750 12.9976
0.734375 12.9773
0.750000 12.9571
0.765625 12.9370
0.781250 12.9170
0.804688 12.8870
0.828125 12.8571
0.839844 12.8421
0.851563 12.8270
0.863281 12.8119
0.875000 12.7968
0.890625 12.7765
0.906250 12.7561
0.916992 12.7420
0.927734 12.7278
0.938477 12.7136
0.949219 12.6994
0.959961 12.6853
0.970703 12.6712
0.981445 12.6573
0.986817 12.6504
0.992188 12.6437
1.00000 12.6340
1.00818 12.6244
1.01637 12.6152
1.02455 12.6068
1.03273 12.5993
1.04092 12.5930
1.04501 12.5905
1.04910 12.5884
1.05319 12.5868
1.05728 12.5859
1.06546 12.5860
1.07340 12.5893
1.08133 12.5965
1.08926 12.6081
1.09719 12.6248
1.10512 12.6472
1.11305 12.6752
1.11702 12.6914
1.12098 12.7089
1.12495 12.7275
1.12891 12.7472
1.13222 12.7642
1.13552 12.7817
1.13883 12.7995
1.14213 12.8174
1.14544 12.8353
1.14874 12.8530
1.15205 12.8703
1.15535 12.8870
1.15899 12.9046
1.16262 12.9211
1.16626 12.9364
1.16989 12.9503
1.17353 12.9627
1.17716 12.9736
1.18443 12.9903
1.19170 13.0006
1.19897 13.0046
1.20624 13.0032
1.20988 13.0006
1.21351 12.9970
1.21829 12.9909
1.22307 12.9833
1.22785 12.9746
1.23263 12.9649
1.23740 12.9544
1.24218 12.9432
1.24696 12.9316
1.25174 12.9196
1.25690 12.9064
1.26207 12.8930
1.26724 12.8796
1.27240 12.8663
1.27757 12.8533
1.28273 12.8407
1.28790 12.8287
1.29306 12.8173
1.29738 12.8084
1.30600 12.7920
1.31463 12.7776
1.32108 12.7677
1.32754 12.7582
1.33399 12.7490
1.34044 12.7398
1.34690 12.7306
1.35335 12.7213
1.35981 12.7119
1.36626 12.7024
1.37142 12.6949
1.37657 12.6874
1.38172 12.6800
1.39203 12.6653
1.40233 12.6509
1.41263 12.6369
1.42294 12.6233
1.43324 12.6100
1.44355 12.5970
1.45385 12.5844
1.46931 12.5660
1.48477 12.5483
1.49894 12.5324
1.51310 12.5170
1.52727 12.5020
1.54144 12.4872
1.55561 12.4728
1.56978 12.4586
1.58395 12.4446
1.59812 12.4308
1.62646 12.4037
1.65479 12.3771
1.68313 12.3507
1.69730 12.3375
1.71147 12.3244
1.72693 12.3100
1.74238 12.2955
1.75784 12.2809
1.77330 12.2660
1.78360 12.2560
1.79391 12.2458
1.80421 12.2355
1.81452 12.2249
1.82482 12.2141
1.83513 12.2030
1.84543 12.1916
1.85574 12.1798
1.86346 12.1706
1.87119 12.1611
1.87892 12.1512
1.88665 12.1409
1.89051 12.1356
1.89438 12.1302
1.89824 12.1246
1.90211 12.1188
1.90597 12.1129
1.90984 12.1069
1.91370 12.1006
1.91756 12.0941
1.92143 12.0874
1.92529 12.0805
1.92916 12.0733
1.93302 12.0658
