Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
57,146,La,94,239,Pu,1,0.0080832,0.0013659,0.0081731,0.0014829, , ,2021-04-28
57,146,La,94,239,Pu,0,0.0044938,0.00075933,0.0038959,0.00070687, , ,2021-04-28
57,145,La,94,239,Pu,0,0.017216,0.0025956,0.020257,0.0024355, , ,2021-04-28
57,144,La,94,239,Pu,0,0.012527,0.0031065,0.016701,0.0031268, , ,2021-04-28
57,143,La,94,239,Pu,0,0.0082229,0.0026617,0.012126,0.0033426, , ,2021-04-28
57,142,La,94,239,Pu,0,0.0029587,0.0010531,0.0049062,0.0017581, , ,2021-04-28
57,141,La,94,239,Pu,0,0.00080565,0.00028977,0.001403,0.00051388, , ,2021-04-28
57,140,La,94,239,Pu,0,0.00011261,4.0104E-05,0.00020861,7.5464E-05, , ,2021-04-28
57,139,La,94,239,Pu,0,1.2033E-05,4.3788E-06,2.1116E-05,7.5849E-06, , ,2021-04-28
57,138,La,94,239,Pu,0,5.542E-07,2.0893E-07,9.0197E-07,3.4102E-07, , ,2021-04-28
57,137,La,94,239,Pu,0,2.2946E-08,8.303E-09,3.2741E-08,1.1973E-08, , ,2021-04-28
57,136,La,94,239,Pu,1,2.0562E-10,7.2515E-11,2.4954E-10,8.837E-11, , ,2021-04-28
57,136,La,94,239,Pu,0,2.0562E-10,7.2515E-11,2.4954E-10,8.837E-11, , ,2021-04-28
57,135,La,94,239,Pu,0,4.9345E-12,1.7547E-12,4.3808E-12,1.6076E-12, , ,2021-04-28
56,152,Ba,94,239,Pu,0,4.5396E-11,1.6279E-11, , , , ,2021-04-28
56,151,Ba,94,239,Pu,0,2.5324E-09,8.9573E-10,7.0586E-11,2.6113E-11, , ,2021-04-28
56,150,Ba,94,239,Pu,0,1.122E-07,3.9196E-08,6.0946E-09,2.2315E-09, , ,2021-04-28
56,149,Ba,94,239,Pu,0,2.4187E-06,8.7044E-07,2.341E-07,8.5793E-08, , ,2021-04-28
56,148,Ba,94,239,Pu,0,3.9536E-05,1.4687E-05,6.5988E-06,2.4979E-06, , ,2021-04-28
56,147,Ba,94,239,Pu,0,0.00035728,0.00012592,8.6135E-05,3.1493E-05, , ,2021-04-28
56,146,Ba,94,239,Pu,0,0.0024763,0.00077641,0.00094248,0.00032178, , ,2021-04-28
56,145,Ba,94,239,Pu,0,0.0084065,0.0021193,0.0041709,0.0013034, , ,2021-04-28
56,144,Ba,94,239,Pu,0,0.022243,0.0032072,0.015468,0.0030204, , ,2021-04-28
56,143,Ba,94,239,Pu,0,0.030232,0.0034901,0.027038,0.0035988, , ,2021-04-28
56,142,Ba,94,239,Pu,0,0.030401,0.0040395,0.032931,0.0038973, , ,2021-04-28
56,141,Ba,94,239,Pu,0,0.017428,0.004282,0.019153,0.0044182, , ,2021-04-28
56,140,Ba,94,239,Pu,0,0.0087561,0.0028386,0.011145,0.0035436, , ,2021-04-28
56,139,Ba,94,239,Pu,0,0.0025137,0.00091318,0.0033548,0.0012091, , ,2021-04-28
56,138,Ba,94,239,Pu,0,0.0004695,0.00017729,0.00068624,0.0002608, , ,2021-04-28
56,137,Ba,94,239,Pu,1,3.7806E-05,1.3685E-05,5.5669E-05,2.0375E-05, , ,2021-04-28
56,137,Ba,94,239,Pu,0,1.5661E-05,5.6688E-06,1.9896E-05,7.2821E-06, , ,2021-04-28
56,136,Ba,94,239,Pu,1,2.7988E-06,9.8701E-07,4.1572E-06,1.4723E-06, , ,2021-04-28
56,136,Ba,94,239,Pu,0,1.1949E-06,4.2139E-07,1.5251E-06,5.4015E-07, , ,2021-04-28
56,135,Ba,94,239,Pu,1,9.9036E-08,3.5217E-08,1.193E-07,4.378E-08, , ,2021-04-28
