Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
1,1,H,92,235,U,0,1.711E-05,2.9483E-06,2.6891E-05,9.1812E-06,2.6369E-05,9.0796E-06,2021-04-28
1,2,H,92,235,U,0,8.4E-06,2.4389E-06,8.2182E-06,2.7419E-06,8.0587E-06,2.7139E-06,2021-04-28
1,3,H,92,235,U,0,0.000108,5.8635E-06,0.000108,1.5035E-05,0.0001742,6.2493E-05,2021-04-28
2,3,He,92,235,U,0,0,0,0,0,0,0,2021-04-28
2,4,He,92,235,U,0,0.0017,8.1347E-05,0.0017,0.00017553,0.001667,0.00014144,2021-04-28
2,6,He,92,235,U,0,2.668E-05,4.8784E-06, , , , ,2021-04-28
3,6,Li,92,235,U,0,0,0, , , , ,2021-04-28
3,8,Li,92,235,U,0,7.292E-07,2.368E-07, , , , ,2021-04-28
3,9,Li,92,235,U,0,4.071E-07,1.0491E-07, , , , ,2021-04-28
4,8,Be,92,235,U,0,7.292E-07,1.6507E-07, , , , ,2021-04-28
4,9,Be,92,235,U,0,4.071E-07,1.6535E-07, , , , ,2021-04-28
4,10,Be,92,235,U,0,5.201E-06,9.0853E-07, , , , ,2021-04-28
4,12,Be,92,235,U,0,1.261E-07,4.4982E-08, , , , ,2021-04-28
5,9,B,92,235,U,0,4.071E-07,1.1018E-07, , , , ,2021-04-28
5,10,B,92,235,U,0,5.201E-06,8.9948E-07, , , , ,2021-04-28
5,12,B,92,235,U,0,1.261E-07,5.5747E-08, , , , ,2021-04-28
6,12,C,92,235,U,0,0,0, , , , ,2021-04-28
6,14,C,92,235,U,0,1.578E-06,4.7597E-07, , , , ,2021-04-28
6,15,C,92,235,U,0,2.528E-07,4.9177E-08, , , , ,2021-04-28
7,15,N,92,235,U,0,0,0, , , , ,2021-04-28
10,21,Ne,92,235,U,0,1E-06,0, , , , ,2021-04-28
25,64,Mn,92,235,U,0,1.206E-12,4.5461E-13, , ,3.2337E-10,1.252E-10,2021-04-28
25,65,Mn,92,235,U,0,2.2914E-12,8.8339E-13, , ,1.4836E-10,5.6985E-11,2021-04-28
25,66,Mn,92,235,U,0,1.8906E-12,7.2988E-13, , ,2.5392E-11,1.0317E-11,2021-04-28
25,67,Mn,92,235,U,0,1.2634E-12,4.8778E-13, , ,5.9502E-12,2.2738E-12,2021-04-28
26,64,Fe,92,235,U,0,6.3759E-12,1.0989E-12,7.3602E-12,1.4838E-12,3.9136E-08,1.4532E-08,2021-04-28
