Incident energy ; 
Incident energy ; 
Incident energy ; NP
1.0E-5 ; 2.880712
3.0E-5 ; 2.88071
0.004999999 ; 2.880383
0.0253 ; 2.8789
0.03125 ; 2.878465
0.035156 ; 2.878225
0.050781 ; 2.87684
0.06640601 ; 2.8754
0.078125 ; 2.874373
0.09375 ; 2.872725
0.10547 ; 2.871565
0.11719 ; 2.870327
0.12891 ; 2.869042
0.13672 ; 2.868233
0.16406 ; 2.865329
0.17188 ; 2.864558
0.19531 ; 2.862358
0.20313 ; 2.861692
0.21094 ; 2.861068
0.21875 ; 2.860491
0.22656 ; 2.859964
0.23438 ; 2.859489
0.24219 ; 2.859069
0.25 ; 2.858706
0.25781 ; 2.8584
0.26563 ; 2.858152
0.27344 ; 2.85796
0.28125 ; 2.857821
0.28906 ; 2.857734
0.29688 ; 2.857693
0.30469 ; 2.857697
0.32031 ; 2.857836
0.32813 ; 2.857963
0.34375 ; 2.858327
0.35156 ; 2.858558
0.37109 ; 2.85926
0.38281 ; 2.859749
0.41016 ; 2.861026
0.4375 ; 2.862385
0.51563 ; 2.866194
0.54297 ; 2.867416
0.57031 ; 2.868493
0.60547 ; 2.869823
0.64063 ; 2.870939
0.68359 ; 2.872164
0.73438 ; 2.873382
0.79297 ; 2.874529
0.85938 ; 2.875562
0.9375 ; 2.876504
1.0273 ; 2.877313
1.1367 ; 2.878014
1.2617 ; 2.878547
1.4141 ; 2.878937
1.5938 ; 2.879153
1.8047 ; 2.879193
2.0664 ; 2.879048
2.3789 ; 2.878713
2.7578 ; 2.878187
3.2344 ; 2.877437
3.8164 ; 2.876452
4.7383 ; 2.87464
5.2461 ; 2.873345
5.6484 ; 2.872037
6.0 ; 2.870527
6.2 ; 2.869537
6.3 ; 2.868955
6.4 ; 2.86832
6.5 ; 2.867623
6.6 ; 2.866858
6.7 ; 2.866014
6.8 ; 2.865082
6.9 ; 2.864053
7.0 ; 2.862916
7.1 ; 2.861669
7.2 ; 2.860309
7.3 ; 2.858854
7.4 ; 2.857341
7.53669 ; 2.855344
7.66835 ; 2.853785
7.71223 ; 2.853437
7.75611 ; 2.853245
7.84389 ; 2.853171
7.9141 ; 2.85334
7.94043 ; 2.853514
7.97554 ; 2.85389
8.01065 ; 2.854431
8.04576 ; 2.85512
8.1 ; 2.856399
8.2 ; 2.860063
8.3 ; 2.865157
8.4 ; 2.8712
8.5 ; 2.877066
8.6 ; 2.88147
8.7 ; 2.88382
8.8 ; 2.884374
8.9 ; 2.883748
9.0 ; 2.882488
9.1 ; 2.880948
9.2 ; 2.879323
9.4 ; 2.876143
9.5 ; 2.874651
9.6 ; 2.873233
9.7 ; 2.871894
9.8 ; 2.870637
9.9 ; 2.869465
10.0 ; 2.868381
10.1 ; 2.867394
10.2 ; 2.866512
10.3 ; 2.865731
10.3794 ; 2.865213
10.5563 ; 2.864341
10.6801 ; 2.863955
10.8393 ; 2.863728
10.9454 ; 2.863699
11.2814 ; 2.863473
11.2991 ; 2.863405
11.3521 ; 2.863113
11.3875 ; 2.862822
11.4229 ; 2.862428
11.4405 ; 2.862185
11.5 ; 2.861012
11.6 ; 2.856949
11.6861 ; 2.850226
11.6925 ; 2.84957
11.7053 ; 2.848185
11.7181 ; 2.846708
11.7372 ; 2.844394
11.7628 ; 2.84138
11.7692 ; 2.8407
11.7756 ; 2.840061
11.782 ; 2.839471
11.7884 ; 2.838933
11.7948 ; 2.838446
11.8076 ; 2.837626
11.814 ; 2.837286
11.8204 ; 2.83699
11.8332 ; 2.836513
11.8396 ; 2.836322
11.8524 ; 2.836025
11.8652 ; 2.835817
11.878 ; 2.835681
11.8972 ; 2.835585
11.9036 ; 2.835579
11.9292 ; 2.835682
11.942 ; 2.83582
11.9548 ; 2.836029
11.9676 ; 2.83633
11.974 ; 2.836522
11.9868 ; 2.837009
11.9932 ; 2.837314
11.9996 ; 2.837668
12.006 ; 2.838075
12.0124 ; 2.838545
12.0188 ; 2.839081
12.0252 ; 2.839691
12.0316 ; 2.840383
12.0379 ; 2.84115
12.0443 ; 2.842024
12.0507 ; 2.842997
12.0571 ; 2.844075
12.0635 ; 2.845259
12.0699 ; 2.846549
12.1 ; 2.853733
12.2 ; 2.869839
12.3 ; 2.871102
12.4 ; 2.871144
12.5 ; 2.871421
12.6 ; 2.871752
12.7 ; 2.872035
12.8 ; 2.872226
12.9 ; 2.87231
13.0 ; 2.872279
13.1 ; 2.872127
13.2 ; 2.871843
13.3 ; 2.871423
13.4 ; 2.870854
13.5 ; 2.870123
13.6 ; 2.869213
13.6996 ; 2.868107
13.7581 ; 2.8674
13.8 ; 2.866845
13.8751 ; 2.865746
13.9337 ; 2.864815
13.9922 ; 2.863839
14.1826 ; 2.860881
14.1922 ; 2.860779
14.24 ; 2.860399
14.2783 ; 2.860234
14.3261 ; 2.860167
14.374 ; 2.860243
