Incident energy ; 
Incident energy ; 
Incident energy ; NP
1.0E-5 ; 2.4367
0.0253 ; 2.4367
0.05 ; 2.4367
1.0 ; 2.4367
2.0 ; 2.4338
10.0 ; 2.4338
5500.0 ; 2.4338
7750.0 ; 2.4338
10000.0 ; 2.4338
15000.0 ; 2.430407
20000.0 ; 2.4285
30000.0 ; 2.425059
40000.0 ; 2.4227
50000.01 ; 2.422512
60000.01 ; 2.4238
70000.01 ; 2.425584
80000.01 ; 2.42766
90000.01 ; 2.42998
100000.0 ; 2.4325
120000.0 ; 2.437685
130000.0 ; 2.440068
140000.0 ; 2.442217
150000.0 ; 2.4441
170000.0 ; 2.447262
200000.0 ; 2.451153
250000.0 ; 2.45651
300000.0 ; 2.461295
350000.1 ; 2.466178
400000.1 ; 2.47106
500000.1 ; 2.480825
600000.1 ; 2.490042
700000.1 ; 2.499327
800000.1 ; 2.509725
900000.1 ; 2.520928
1000000.0 ; 2.5317
1200000.0 ; 2.553042
1400000.0 ; 2.575793
1600000.0 ; 2.59929
1800000.0 ; 2.622803
2000000.0 ; 2.64704
2200000.0 ; 2.67094
2400001.0 ; 2.69449
2600001.0 ; 2.718326
2800001.0 ; 2.742881
3000001.0 ; 2.7671
3500001.0 ; 2.8267
4000001.0 ; 2.8916
4500001.0 ; 2.965917
5000001.0 ; 3.044133
5500001.0 ; 3.130754
6000001.0 ; 3.221267
6500001.0 ; 3.317414
7000002.0 ; 3.4072
7500002.0 ; 3.479862
8000002.0 ; 3.5498
8500002.0 ; 3.623019
9000002.0 ; 3.695211
9500002.0 ; 3.766645
1.0E7 ; 3.8365
1.05E7 ; 3.904966
1.1E7 ; 3.972728
1.15E7 ; 4.040011
1.2E7 ; 4.107
1.25E7 ; 4.175742
1.3E7 ; 4.247331
1.35E7 ; 4.320648
1.4E7 ; 4.394742
1.45E7 ; 4.4688
1.5E7 ; 4.544075
1.55E7 ; 4.620803
1.6E7 ; 4.696942
1.65E7 ; 4.770695
1.7E7 ; 4.840483
1.75E7 ; 4.907079
1.8E7 ; 4.972091
1.85E7 ; 5.035578
1.9E7 ; 5.097598
1.95E7 ; 5.158203
2.0E7 ; 5.217443
