 1.000000-5  0.000000+0 0.000000+0                                            
 5.000000+3  8.815800-3 1.462800-3                                            
 1.000000+4  1.480800-2 2.186100-3                                            
 1.500000+4  2.130200-2 2.734100-3                                            
 2.000000+4  2.507600-2 2.811100-3                                            
 2.500000+4  2.580600-2 2.582200-3                                            
 3.000000+4  2.709600-2 2.678100-3                                            
 3.500000+4  3.227200-2 3.698700-3                                            
 4.000000+4  4.151000-2 5.382700-3                                            
 4.500000+4  5.100300-2 6.574300-3                                            
 5.000000+4  5.619100-2 6.497900-3                                            
 5.500000+4  5.801300-2 5.644000-3                                            
 6.000000+4  6.035300-2 5.086500-3                                            
 6.500000+4  6.279500-2 5.180500-3                                            
 7.000000+4  6.334600-2 5.524200-3                                            
 7.500000+4  6.359800-2 6.018900-3                                            
 8.000000+4  6.701600-2 7.011300-3                                            
 8.500000+4  7.472100-2 8.425500-3                                            
 9.000000+4  8.521800-2 9.734600-3                                            
 9.500000+4  9.685400-2 1.082500-2                                            
 1.000000+5  1.078100-1 1.198800-2                                            
 1.050000+5  1.167000-1 1.324000-2                                            
 1.100000+5  1.231900-1 1.454900-2                                            
 1.150000+5  1.250900-1 1.611600-2                                            
 1.200000+5  1.202500-1 1.773600-2                                            
 1.250000+5  1.113300-1 1.827900-2                                            
 1.300000+5  1.033800-1 1.717500-2                                            
 1.350000+5  1.027200-1 1.601300-2                                            
 1.400000+5  1.153500-1 1.653000-2                                            
 1.450000+5  1.367300-1 1.843600-2                                            
 1.500000+5  1.541800-1 2.072400-2                                            
 1.550000+5  1.615100-1 2.298400-2                                            
 1.600000+5  1.604500-1 2.462100-2                                            
 1.650000+5  1.560700-1 2.484700-2                                            
 1.700000+5  1.541900-1 2.403500-2                                            
 1.750000+5  1.557900-1 2.376000-2                                            
 1.800000+5  1.570500-1 2.469700-2                                            
 1.850000+5  1.547100-1 2.601200-2                                            
 1.900000+5  1.480700-1 2.685200-2                                            
 1.950000+5  1.411400-1 2.660600-2                                            
 2.000000+5  1.406400-1 2.537700-2                                            
 2.050000+5  1.476500-1 2.479500-2                                            
 2.100000+5  1.553300-1 2.599900-2                                            
 2.150000+5  1.594500-1 2.769900-2                                            
 2.200000+5  1.629700-1 2.816900-2                                            
 2.250000+5  1.666500-1 2.745900-2                                            
 2.300000+5  1.680700-1 2.668700-2                                            
 2.350000+5  1.664900-1 2.680900-2                                            
 2.400000+5  1.628800-1 2.822400-2                                            
 2.450000+5  1.615600-1 3.032200-2                                            
 2.500000+5  1.703900-1 3.235300-2                                            
 2.550000+5  1.928100-1 3.497100-2                                            
 2.600000+5  2.199700-1 3.889300-2                                            
 2.650000+5  2.362200-1 4.332100-2                                            
 2.700000+5  2.340400-1 4.722500-2                                            
 2.750000+5  2.196500-1 5.081800-2                                            
 2.800000+5  2.059700-1 5.533400-2                                            
 2.850000+5  2.056500-1 6.295500-2                                            
 2.900000+5  2.196300-1 7.400100-2                                            
 2.950000+5  2.352400-1 8.440000-2                                            
 3.000000+5  2.441700-1 9.093600-2                                            
 4.000000+5  2.032000-1 9.517300-2 6.157400-3 0.000000+0                      
 6.000000+5  2.134600-1 1.536700-1 1.543400-2 0.000000+0                      
 8.000000+5  1.598656-1 1.086621-1 2.113703-2 5.872050-3 5.292187-5 2.976408-5
 9.000000+5  1.710170-1 1.238861-1 2.841036-2 8.141263-3 8.886489-5 4.692941-5
 1.000000+6  1.886180-1 1.409724-1 3.793319-2 1.110987-2 1.449112-4 7.102306-5
 1.100000+6  2.055924-1 1.567457-1 4.850456-2 1.464280-2 2.281066-4 9.637214-5
 1.200000+6  2.206036-1 1.704646-1 5.962883-2 1.863453-2 3.427475-4 1.350207-4
             3.098578-6 9.548582-7                                            
 1.400000+6  2.558339-1 1.958331-1 8.567147-2 2.828074-2 7.347366-4 2.583901-4
             9.250317-6 1.890494-6                                            
 1.600000+6  2.988628-1 2.251765-1 1.170904-1 4.115050-2 1.498484-3 4.634818-4
             2.427002-5 3.123123-6                                            
 1.800000+6  3.363789-1 2.503885-1 1.479943-1 5.559059-2 2.768377-3 8.291058-4
             5.496629-5 6.176875-6                                            
