 H-1(n,el) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1173.11
1.03125E-05 1155.20
1.06250E-05 1138.09
1.09375E-05 1121.72
1.12500E-05 1106.03
1.15625E-05 1090.99
1.18750E-05 1076.54
1.21875E-05 1062.66
1.25000E-05 1049.29
1.28125E-05 1036.42
1.31250E-05 1024.01
1.34375E-05 1012.04
1.37500E-05 1000.48
1.43750E-05 978.493
1.50000E-05 957.899
1.56250E-05 938.553
1.62500E-05 920.334
1.68750E-05 903.137
1.75000E-05 886.870
1.81250E-05 871.452
1.87500E-05 856.812
1.93750E-05 842.886
2.00000E-05 829.618
2.09375E-05 810.842
2.18750E-05 793.286
2.28125E-05 776.824
2.37500E-05 761.347
2.46875E-05 746.760
2.56250E-05 732.981
2.65625E-05 719.939
2.75000E-05 707.569
2.84375E-05 695.816
2.93750E-05 684.631
3.03125E-05 673.969
3.12500E-05 663.791
3.21875E-05 654.060
3.31250E-05 644.746
3.40625E-05 635.819
3.50000E-05 627.253
3.59375E-05 619.025
3.68750E-05 611.114
3.78125E-05 603.498
3.87500E-05 596.160
3.96875E-05 589.084
4.06250E-05 582.254
4.25000E-05 569.279
4.43750E-05 557.136
4.62500E-05 545.739
4.81250E-05 535.015
5.00000E-05 524.900
5.15625E-05 516.896
5.31250E-05 509.248
5.46875E-05 501.931
5.62500E-05 494.920
5.78125E-05 488.196
5.93750E-05 481.739
6.09375E-05 475.533
6.25000E-05 469.560
6.40625E-05 463.808
6.56250E-05 458.262
6.71875E-05 452.911
6.87500E-05 447.744
7.18750E-05 437.920
7.50000E-05 428.717
7.81250E-05 420.072
8.12500E-05 411.931
8.43750E-05 404.247
8.75000E-05 396.979
9.06250E-05 390.090
9.37500E-05 383.549
9.68750E-05 377.327
0.000100000 371.399
0.000103125 365.743
0.000106250 360.339
0.000109375 355.168
0.000112500 350.215
0.000115625 345.464
0.000118750 340.901
0.000121875 336.516
0.000125000 332.296
0.000128125 328.232
0.000131250 324.314
0.000134375 320.534
0.000137500 316.883
0.000143750 309.943
0.000150000 303.441
0.000156250 297.334
0.000162500 291.584
0.000168750 286.156
0.000175000 281.022
0.000181250 276.157
0.000187500 271.537
0.000193750 267.143
0.000200000 262.956
0.000209375 257.033
0.000218750 251.495
0.000228125 246.303
0.000237500 241.421
0.000246875 236.822
0.000256250 232.477
0.000265625 228.365
0.000275000 224.466
0.000284375 220.761
0.000293750 217.236
0.000303125 213.876
0.000312500 210.669
0.000321875 207.603
0.000331250 204.669
0.000340625 201.857
0.000350000 199.159
0.000359375 196.567
0.000368750 194.076
0.000378125 191.678
0.000387500 189.368
0.000396875 187.140
0.000406250 184.990
0.000425000 180.907
0.000443750 177.086
0.000462500 173.501
0.000481250 170.128
0.000500000 166.948
0.000515625 164.431
0.000531250 162.028
0.000546875 159.728
0.000562500 157.525
0.000578125 155.413
0.000593750 153.385
0.000609375 151.436
0.000625000 149.560
0.000640625 147.755
0.000656250 146.014
0.000671875 144.335
0.000687500 142.714
0.000718750 139.632
0.000750000 136.746
0.000781250 134.037
0.000812500 131.486
0.000843750 129.079
0.000875000 126.803
0.000906250 124.647
0.000937500 122.600
0.000968750 120.654
0.00100000 118.801
0.00103125 117.033
0.00106250 115.345
0.00109375 113.730
0.00112500 112.183
0.00115625 110.700
0.00118750 109.277
0.00121875 107.909
0.00125000 106.594
0.00128125 105.327
0.00131250 104.107
0.00134375 102.929
0.00137500 101.793
0.00143750 99.6331
0.00150000 97.6116
0.00156250 95.7141
0.00162500 93.9286
0.00168750 92.2446
0.00175000 90.6528
0.00181250 89.1453
0.00187500 87.7150
0.00193750 86.3555
0.00200000 85.0613
0.00209375 83.2315
0.00218750 81.5226
0.00228125 79.9222
0.00237500 78.4192
0.00246875 77.0043
0.00256250 75.6694
0.00265625 74.4072
0.00275000 73.2116
0.00284375 72.0770
0.00293750 70.9983
0.00303125 69.9713
0.00312500 68.9920
0.00321875 68.0570
0.00331250 67.1629
0.00340625 66.3070
0.00350000 65.4867
0.00359375 64.6996
0.00368750 63.9436
0.00378125 63.2168
0.00387500 62.5173
0.00396875 61.8435
0.00406250 61.1939
0.00425000 59.9620
0.00443750 58.8117
0.00462500 57.7345
0.00481250 56.7233
0.00500000 55.7717
0.00515625 55.0202
0.00531250 54.3035
0.00546875 53.6191
0.00562500 52.9646
0.00578125 52.3380
0.00593750 51.7375
0.00609375 51.1613
0.00625000 50.6079
0.00640625 50.0758
0.00656250 49.5639
0.00671875 49.0708
0.00687500 48.5956
0.00718750 47.6945
0.00750000 46.8535
0.00781250 46.0664
0.00812500 45.3280
0.00843750 44.6335
0.00875000 43.9790
0.00906250 43.3609
0.00937500 42.7761
0.00968750 42.2219
0.0100000 41.6957
0.0103125 41.1955
0.0106250 40.7193
0.0109375 40.2652
0.0112500 39.8318
0.0115625 39.4176
0.0118750 39.0212
0.0121875 38.6415
0.0125000 38.2774
0.0128125 37.9280
0.0131250 37.5923
0.0134375 37.2696
0.0137500 36.9590
0.0143750 36.3715
0.0150000 35.8249
0.0156250 35.3149
0.0162500 34.8380
0.0168750 34.3908
0.0175000 33.9707
0.0181250 33.5752
0.0187500 33.2020
0.0193750 32.8495
0.0200000 32.5157
0.0206625 32.1809
0.0213250 31.8640
0.0219875 31.5636
0.0226500 31.2784
0.0233125 31.0073
0.0239750 30.7492
0.0246375 30.5032
0.0253000 30.2685
0.0264578 29.8832
0.0276156 29.5264
0.0287734 29.1951
0.0299313 28.8866
0.0310891 28.5987
0.0322469 28.3293
0.0334047 28.0767
0.0345625 27.8395
0.0355274 27.6525
0.0364922 27.4745
0.0374570 27.3048
0.0384219 27.1430
0.0393867 26.9884
0.0403516 26.8406
0.0413164 26.6992
0.0422813 26.5637
0.0442109 26.3092
0.0461406 26.0746
0.0480703 25.8575
0.0500000 25.6562
0.0515625 25.5036
0.0531250 25.3595
0.0546875 25.2232
0.0562500 25.0940
0.0578125 24.9716
0.0593750 24.8552
0.0609375 24.7446
0.0625000 24.6393
0.0640625 24.5389
0.0656250 24.4431
0.0671875 24.3516
0.0687500 24.2642
0.0718750 24.1003
0.0750000 23.9496
0.0781250 23.8108
0.0812500 23.6823
0.0843750 23.5632
0.0875000 23.4524
0.0906250 23.3491
0.0937500 23.2526
0.0968750 23.1622
0.100000 23.0774
0.103125 22.9977
0.106250 22.9227
0.109375 22.8518
0.112500 22.7849
0.115625 22.7216
0.118750 22.6616
0.121875 22.6046
0.125000 22.5505
0.128125 22.4990
0.131250 22.4500
0.134375 22.4032
0.137500 22.3585
0.143750 22.2750
0.150000 22.1984
0.156250 22.1280
0.162500 22.0629
0.168750 22.0027
0.175000 21.9467
0.181250 21.8947
0.187500 21.8460
0.193750 21.8006
0.200000 21.7579
0.209375 21.6987
0.218750 21.6446
0.228125 21.5950
0.237500 21.5492
0.246875 21.5069
0.256250 21.4678
0.265625 21.4313
0.275000 21.3974
0.284375 21.3657
0.293750 21.3360
0.303125 21.3082
0.312500 21.2820
0.321875 21.2574
0.331250 21.2342
0.340625 21.2122
0.350000 21.1914
0.359375 21.1717
0.368750 21.1530
0.378125 21.1352
0.387500 21.1183
0.396875 21.1022
0.406250 21.0868
0.425000 21.0581
0.443750 21.0318
0.462500 21.0076
0.500000 20.9648
0.531250 20.9337
0.562500 20.9060
0.593750 20.8813
0.625000 20.8590
0.687500 20.8205
0.750000 20.7885
0.812500 20.7614
0.875000 20.7381
0.937500 20.7180
1.00000 20.7003
1.06250 20.6848
1.12500 20.6709
1.18750 20.6586
1.25000 20.6474
1.37500 20.6282
1.50000 20.6121
1.62500 20.5986
1.75000 20.5869
1.87500 20.5768
2.00000 20.5680
2.18750 20.5566
2.37500 20.5471
2.56250 20.5389
2.75000 20.5318
2.93750 20.5257
3.12500 20.5203
3.31250 20.5154
3.50000 20.5111
3.87500 20.5038
4.25000 20.4977
4.62500 20.4926
5.00000 20.4883
5.31250 20.4851
5.62500 20.4823
5.93750 20.4798
6.25000 20.4775
6.87500 20.4736
7.50000 20.4703
8.12500 20.4675
8.75000 20.4651
9.37500 20.4630
10.0000 20.4612
10.6250 20.4595
11.2500 20.4581
11.8750 20.4567
12.5000 20.4555
13.7500 20.4534
15.0000 20.4517
16.2500 20.4502
17.5000 20.4488
18.7500 20.4477
20.0000 20.4466
21.8750 20.4452
23.7500 20.4440
25.6250 20.4429
27.5000 20.4420
29.3750 20.4411
31.2500 20.4403
33.1250 20.4396
35.0000 20.4389
38.7500 20.4377
42.5000 20.4366
46.2500 20.4356
50.0000 20.4346
53.1250 20.4339
56.2500 20.4332
59.3750 20.4325
62.5000 20.4319
68.7500 20.4307
75.0000 20.4295
81.2500 20.4284
87.5000 20.4273
93.7500 20.4263
100.000 20.4253
106.250 20.4243
112.500 20.4233
118.750 20.4223
125.000 20.4214
137.500 20.4195
150.000 20.4177
162.500 20.4159
175.000 20.4141
187.500 20.4123
200.000 20.4105
218.750 20.4079
237.500 20.4053
256.250 20.4027
275.000 20.4001
293.750 20.3975
312.500 20.3950
331.250 20.3924
350.000 20.3899
387.500 20.3848
425.000 20.3797
462.500 20.3746
500.000 20.3696
531.250 20.3654
562.500 20.3612
593.750 20.3570
625.000 20.3528
687.500 20.3444
750.000 20.3361
812.500 20.3278
875.000 20.3194
937.500 20.3111
1000.00 20.3027
1062.50 20.2945
1125.00 20.2863
1187.50 20.2780
1250.00 20.2698
1375.00 20.2533
1500.00 20.2369
1625.00 20.2204
1750.00 20.2039
1875.00 20.1875
2000.00 20.1710
2125.00 20.1548
2250.00 20.1386
2375.00 20.1223
2500.00 20.1061
2750.00 20.0737
3000.00 20.0413
3250.00 20.0093
3500.00 19.9774
3750.00 19.9454
4000.00 19.9135
4250.00 19.8820
4500.00 19.8505
4750.00 19.8190
5000.00 19.7876
5250.00 19.7565
5500.00 19.7255
5750.00 19.6945
6000.00 19.6634
6250.00 19.6328
6500.00 19.6023
6750.00 19.5717
7000.00 19.5411
7500.00 19.4808
8000.00 19.4205
8500.00 19.3610
9000.00 19.3016
9500.00 19.2429
10000.0 19.1843
10500.0 19.1269
11000.0 19.0695
11500.0 19.0121
12000.0 18.9547
12500.0 18.8988
13000.0 18.8430
13500.0 18.7871
14000.0 18.7313
15000.0 18.6226
16000.0 18.5139
17000.0 18.4080
18000.0 18.3022
19000.0 18.1992
20000.0 18.0961
21000.0 17.9957
22000.0 17.8953
23000.0 17.7974
24000.0 17.6996
25000.0 17.6041
26000.0 17.5088
27000.0 17.4157
28000.0 17.3227
30000.0 17.1412
32500.0 16.9237
35000.0 16.7063
37500.0 16.5013
40000.0 16.2964
42500.0 16.1029
45000.0 15.9095
47500.0 15.7265
50000.0 15.5436
52500.0 15.3703
55000.0 15.1971
57500.0 15.0327
60000.0 14.8684
62500.0 14.7123
65000.0 14.5563
67500.0 14.4078
70000.0 14.2594
75000.0 13.9767
80000.0 13.7071
85000.0 13.4499
90000.0 13.2040
95000.0 12.9689
100000 12.7438
105000 12.5323
110000 12.3210
115000 12.1260
120000 11.9312
125000 11.7509
130000 11.5707
135000 11.4034
140000 11.2363
150000 10.9251
160000 10.6348
170000 10.3634
180000 10.1089
190000 9.86993
200000 9.64500
210000 9.43866
220000 9.23249
230000 9.04771
240000 8.86309
250000 8.69659
260000 8.53025
270000 8.37938
280000 8.22865
300000 7.95398
320000 7.70268
340000 7.47178
360000 7.25882
380000 7.06169
400000 6.87863
420000 6.70812
440000 6.54885
460000 6.39968
480000 6.25964
500000 6.12788
525000 5.97884
550000 5.82990
575000 5.69966
600000 5.56952
625000 5.45455
650000 5.33965
675000 5.23721
700000 5.13485
750000 4.95093
800000 4.78460
850000 4.63323
900000 4.49469
950000 4.36726
1.00000E+06 4.24951
1.10000E+06 4.03846
1.20000E+06 3.85418
1.30000E+06 3.69127
1.40000E+06 3.54578
1.50000E+06 3.41466
1.60000E+06 3.29561
1.70000E+06 3.18678
1.80000E+06 3.08672
1.90000E+06 2.99424
2.00000E+06 2.90838
2.20000E+06 2.75345
2.40000E+06 2.61697
2.60000E+06 2.49537
2.80000E+06 2.38600
3.00000E+06 2.28686
3.20000E+06 2.19638
3.40000E+06 2.11334
3.60000E+06 2.03675
3.80000E+06 1.96579
4.00000E+06 1.89979
4.20000E+06 1.83821
4.40000E+06 1.78057
4.60000E+06 1.72646
4.80000E+06 1.67556
5.00000E+06 1.62755
5.20000E+06 1.58218
5.40000E+06 1.53923
5.60000E+06 1.49849
5.80000E+06 1.45979
6.00000E+06 1.42297
6.20000E+06 1.38790
6.40000E+06 1.35443
6.60000E+06 1.32247
6.80000E+06 1.29191
7.00000E+06 1.26265
7.50000E+06 1.19469
8.00000E+06 1.13326
8.50000E+06 1.07744
9.00000E+06 1.02650
9.50000E+06 0.979812
1.00000E+07 0.936875
1.05000E+07 0.897253
1.10000E+07 0.860580
1.15000E+07 0.826542
1.20000E+07 0.794868
1.25000E+07 0.765326
1.30000E+07 0.737709
1.35000E+07 0.711841
1.40000E+07 0.687562
1.45000E+07 0.664735
1.50000E+07 0.643236
1.55000E+07 0.622955
1.60000E+07 0.603793
1.65000E+07 0.585662
1.70000E+07 0.568484
1.75000E+07 0.552186
1.80000E+07 0.536705
1.85000E+07 0.521980
1.90000E+07 0.507960
1.95000E+07 0.494595
2.00000E+07 0.481841
